instruct: loss 0.06428987266826008 | val_loss 0.07353577094202886
placegrptab: loss 0.04673094783992367 | val_loss 0.030575690213699786
placegrptab: loss 0.03772277843244582 | val_loss 0.0288706008536158
placegrptab: loss 0.03563690602936434 | val_loss 0.024235491832462618
placegrptab: loss 0.03620985894778388 | val_loss 0.02312040762296728
placegrptab: loss 0.03811502359269437 | val_loss 0.027124682600381766
placegrptab: loss 0.04234969628880537 | val_loss 0.03000143887205904
placegrptab: loss 0.045847757492279165 | val_loss 0.03194256503780069
placegrptab: loss 0.055568293587062154 | val_loss 0.03622937887413529
placegrptab: loss 0.03739546783897472 | val_loss 0.02450332089928205
placegrptab: loss 0.03931480803702046 | val_loss 0.026681615803061394
placegrptab: loss 0.04222123076859932 | val_loss 0.029315924039515693
placegrptab: loss 0.045118061565702326 | val_loss 0.029802212464342684
placegrptab: loss 0.036897473447466356 | val_loss 0.023739586100311266
placegrptab: loss 0.03443135433243739 | val_loss 0.020933213929588072
placegrptab: loss 0.03996144153642092 | val_loss 0.025936309223951813
placegrptab: loss 0.036604716143291104 | val_loss 0.02482128278154803
placegrptab: loss 0.03781591604505755 | val_loss 0.025099861810536563
placegrptab: loss 0.038952711507259805 | val_loss 0.02797850207899562
placegrptab: loss 0.036856079689846576 | val_loss 0.02697907420141356
placegrptab: loss 0.036705828130574776 | val_loss 0.024843820842851288
placegrptab: loss 0.038260960124552025 | val_loss 0.02500381673964061
placegrptab: loss 0.03851246215707761 | val_loss 0.026112134320127673
placegrptab: loss 0.03819209126132274 | val_loss 0.02664692265598703
placegrptab: loss 0.0363939327537765 | val_loss 0.028742064709388036
placegrptab: loss 0.03723865545885231 | val_loss 0.025193710629249303
placegrptab: loss 0.0394801288819002 | val_loss 0.027932520543645683
placegrptab: loss 0.037863828886528575 | val_loss 0.026336435947296427
placegrptab: loss 0.04222036642785049 | val_loss 0.0334806271702461
placegrptab: loss 0.04130236956099377 | val_loss 0.025972040586535294
placegrptab: loss 0.04026352273943687 | val_loss 0.02788031747250486
placegrptab: loss 0.04024149842362468 | val_loss 0.025737279965645506
placegrptab: loss 0.03374607389444466 | val_loss 0.023748103180001565
placegrptab: loss 0.03807759786944746 | val_loss 0.024505723408315413
placegrptab: loss 0.034545768016737616 | val_loss 0.023169292231335285
placegrptab: loss 0.03384795099683582 | val_loss 0.022602593624630303
placegrptab: loss 0.0382618167603311 | val_loss 0.02585667641626929
placegrptab: loss 0.03718706330655081 | val_loss 0.024856898666197686
placegrptab: loss 0.03656406491421556 | val_loss 0.02486256099605805
placegrptab: loss 0.037616326615698366 | val_loss 0.023646544363789327
placegrptab: loss 0.039134125282963866 | val_loss 0.024455066539587393
placegrptab: loss 0.035582913496598804 | val_loss 0.026753604797032413
placegrptab: loss 0.0357511476402176 | val_loss 0.02427164201341662
placegrptab: loss 0.0395431584311759 | val_loss 0.030028616949371537
placegrptab: loss 0.031137413916641214 | val_loss 0.022099634637167364
placegrptab: loss 0.039372575617633535 | val_loss 0.03090178881937695
placegrptab: loss 0.031002790114620024 | val_loss 0.019954232128805153
placegrptab: loss 0.028534849699420984 | val_loss 0.02076227674001813
placegrptab: loss 0.02719448589554479 | val_loss 0.018918345348167127
placegrptab: loss 0.02738818708478286 | val_loss 0.018791147608335737
placegrptab: loss 0.02606889693032996 | val_loss 0.0211635403086228
placegrptab: loss 0.03128356331217481 | val_loss 0.023228358354706494
placegrptab: loss 0.02970107128330865 | val_loss 0.018283406441793583
placegrptab: loss 0.030982552869641904 | val_loss 0.020420670364040966
placegrptab: loss 0.03646148406469608 | val_loss 0.02232099534347191
placegrptab: loss 0.0348001269339923 | val_loss 0.02153853539568612
placegrptab: loss 0.030678896752019593 | val_loss 0.01971096439595612
placegrptab: loss 0.03102459816975817 | val_loss 0.02202342364558692
placegrptab: loss 0.03615842839124375 | val_loss 0.023836213431271604
placegrptab: loss 0.040617606797120766 | val_loss 0.02479897364246595
placegrptab: loss 0.03721755876671964 | val_loss 0.02606793154168065
placegrptab: loss 0.035165236172818755 | val_loss 0.024358057962310706
placegrptab: loss 0.04155225739416377 | val_loss 0.03135205546999334
placegrptab: loss 0.04066078420193911 | val_loss 0.025202195648002638
placegrptab: loss 0.041389729009746794 | val_loss 0.025634504134770846
placegrptab: loss 0.04042166862778955 | val_loss 0.025039835920088124
placegrptab: loss 0.042687199074235745 | val_loss 0.027856843472256407
placegrptab: loss 0.04313933385916122 | val_loss 0.02732487637580653
